vertices,celtype,loc_x,loc_y,loc_z,state,tcounter
237.0, 1.0, 44.5, 238.3, 37.6, 5.0, 1.0
238.0, 1.0, 49.6, 248.3, 20.4, 5.0, 1.0
239.0, 1.0, 56.3, 232.1, 1.0, 5.0, 1.0
240.0, 1.0, 83.2, 245.7, 72.9, 5.0, 1.0
241.0, 1.0, 50.3, 245.6, 7.3, 5.0, 1.0
242.0, 1.0, 47.9, 245.2, 12.0, 5.0, 1.0
243.0, 1.0, 58.7, 244.5, 67.3, 5.0, 1.0
244.0, 1.0, 62.9, 246.6, 65.6, 5.0, 1.0
245.0, 1.0, 61.9, 257.2, 29.2, 5.0, 1.0
246.0, 1.0, 31.3, 216.0, 56.7, 5.0, 1.0
247.0, 1.0, 42.6, 229.3, 88.1, 5.0, 1.0
248.0, 1.0, 44.9, 232.5, 83.7, 5.0, 1.0
249.0, 1.0, 39.6, 230.0, 49.0, 5.0, 1.0
250.0, 1.0, 57.8, 254.1, 26.2, 5.0, 1.0
251.0, 1.0, 70.6, 268.6, 28.6, 5.0, 1.0
252.0, 1.0, 68.9, 264.1, 30.3, 5.0, 1.0
253.0, 1.0, 73.1, 266.6, 33.7, 5.0, 1.0
254.0, 1.0, 54.8, 243.1, 63.9, 5.0, 1.0
255.0, 1.0, 48.1, 254.4, 15.8, 5.0, 1.0
256.0, 1.0, 85.8, 245.4, 72.2, 5.0, 1.0
257.0, 1.0, 87.4, 246.0, 69.9, 5.0, 1.0
258.0, 1.0, 87.1, 246.9, 68.4, 5.0, 1.0
259.0, 1.0, 34.4, 225.1, 40.4, 5.0, 1.0
260.0, 1.0, 35.4, 227.0, 34.8, 5.0, 1.0
261.0, 1.0, 56.0, 261.8, 24.2, 5.0, 1.0
262.0, 1.0, 69.6, 256.8, 42.2, 5.0, 1.0
263.0, 1.0, 64.5, 255.0, 39.6, 5.0, 1.0
264.0, 1.0, 64.9, 261.2, 27.2, 5.0, 1.0
265.0, 1.0, 61.2, 258.4, 23.5, 5.0, 1.0
266.0, 1.0, 67.0, 248.3, 63.7, 5.0, 1.0
267.0, 1.0, 66.7, 247.1, 68.5, 5.0, 1.0
268.0, 1.0, 34.0, 223.2, 45.9, 5.0, 1.0
269.0, 1.0, 36.9, 227.7, 44.9, 5.0, 1.0
270.0, 1.0, 50.5, 240.1, 65.2, 5.0, 1.0
271.0, 1.0, 61.3, 263.0, 38.7, 5.0, 1.0
272.0, 1.0, 45.6, 236.3, 52.0, 5.0, 1.0
273.0, 1.0, 37.4, 224.8, 24.7, 5.0, 1.0
274.0, 1.0, 49.9, 238.8, 70.7, 5.0, 1.0
275.0, 1.0, 59.7, 231.4, 1.8, 5.0, 1.0
276.0, 1.0, 60.4, 230.3, 4.0, 5.0, 1.0
277.0, 1.0, 56.8, 255.0, 20.5, 5.0, 1.0
278.0, 1.0, 69.0, 264.9, 45.0, 5.0, 1.0
279.0, 1.0, 65.1, 253.3, 44.5, 5.0, 1.0
280.0, 1.0, 33.2, 218.0, 96.1, 5.0, 1.0
281.0, 1.0, 31.0, 205.7, 36.8, 5.0, 1.0
282.0, 1.0, 65.2, 251.5, 49.3, 5.0, 1.0
283.0, 1.0, 29.4, 202.0, 42.0, 5.0, 1.0
284.0, 1.0, 32.6, 218.8, 54.7, 5.0, 1.0
285.0, 1.0, 35.0, 223.1, 30.2, 5.0, 1.0
286.0, 1.0, 75.1, 263.6, 38.1, 5.0, 1.0
287.0, 1.0, 75.9, 245.4, 76.2, 5.0, 1.0
288.0, 1.0, 33.2, 221.5, 35.9, 5.0, 1.0
289.0, 1.0, 48.5, 240.2, 51.1, 5.0, 1.0
290.0, 1.0, 49.4, 237.6, 76.3, 5.0, 1.0
291.0, 1.0, 42.0, 222.3, 17.3, 5.0, 1.0
292.0, 1.0, 31.7, 218.6, 46.5, 5.0, 1.0
293.0, 1.0, 32.4, 220.0, 41.3, 5.0, 1.0
294.0, 1.0, 66.2, 265.7, 40.7, 5.0, 1.0
295.0, 1.0, 62.7, 245.3, 70.3, 5.0, 1.0
296.0, 1.0, 61.3, 228.5, 4.9, 5.0, 1.0
297.0, 1.0, 54.3, 242.0, 69.0, 5.0, 1.0
298.0, 1.0, 87.5, 247.7, 66.8, 5.0, 1.0
299.0, 1.0, 82.9, 247.8, 68.7, 5.0, 1.0
300.0, 1.0, 54.1, 240.5, 74.2, 5.0, 1.0
301.0, 1.0, 58.4, 243.1, 72.2, 5.0, 1.0
302.0, 1.0, 35.9, 219.4, 25.8, 5.0, 1.0
303.0, 1.0, 47.8, 251.1, 7.7, 5.0, 1.0
304.0, 1.0, 49.9, 255.1, 10.7, 5.0, 1.0
305.0, 1.0, 32.1, 199.9, 36.5, 5.0, 1.0
306.0, 1.0, 70.8, 249.5, 62.7, 5.0, 1.0
307.0, 1.0, 59.1, 227.9, 1.6, 5.0, 1.0
308.0, 1.0, 71.2, 246.0, 74.7, 5.0, 1.0
309.0, 1.0, 62.6, 261.5, 19.9, 5.0, 1.0
310.0, 1.0, 82.1, 265.4, 42.4, 5.0, 1.0
311.0, 1.0, 78.8, 262.8, 41.5, 5.0, 1.0
312.0, 1.0, 74.5, 259.8, 41.7, 5.0, 1.0
313.0, 1.0, 78.2, 259.1, 45.2, 5.0, 1.0
314.0, 1.0, 65.0, 227.4, 5.0, 5.0, 1.0
315.0, 1.0, 49.3, 235.8, 81.8, 5.0, 1.0
316.0, 1.0, 71.5, 260.0, 38.7, 5.0, 1.0
317.0, 1.0, 28.5, 206.5, 46.5, 5.0, 1.0
318.0, 1.0, 45.9, 237.6, 47.7, 5.0, 1.0
319.0, 1.0, 69.9, 239.5, 86.1, 5.0, 1.0
320.0, 1.0, 64.6, 239.8, 84.6, 5.0, 1.0
321.0, 1.0, 82.0, 246.9, 71.2, 5.0, 1.0
322.0, 1.0, 54.4, 257.0, 10.2, 5.0, 1.0
323.0, 1.0, 82.0, 262.9, 42.9, 5.0, 1.0
324.0, 1.0, 93.0, 247.0, 65.0, 5.0, 1.0
325.0, 1.0, 90.3, 248.7, 63.4, 5.0, 1.0
326.0, 1.0, 40.0, 241.4, 11.6, 5.0, 1.0
327.0, 1.0, 35.5, 236.0, 16.0, 5.0, 1.0
328.0, 1.0, 38.4, 235.6, 11.3, 5.0, 1.0
329.0, 1.0, 56.8, 224.3, 2.1, 5.0, 1.0
330.0, 1.0, 53.7, 227.2, 1.9, 5.0, 1.0
331.0, 1.0, 22.4, 165.9, 39.6, 5.0, 1.0
332.0, 1.0, 27.0, 163.0, 36.1, 5.0, 1.0
333.0, 1.0, 24.0, 169.4, 36.8, 5.0, 1.0
334.0, 1.0, 23.5, 222.0, 48.7, 5.0, 1.0
335.0, 1.0, 24.5, 223.0, 54.0, 5.0, 1.0
336.0, 1.0, 21.4, 217.6, 50.0, 5.0, 1.0
337.0, 1.0, 37.0, 240.8, 19.0, 5.0, 1.0
338.0, 1.0, 31.8, 172.8, 30.3, 5.0, 1.0
339.0, 1.0, 30.5, 175.2, 30.4, 5.0, 1.0
340.0, 1.0, 28.0, 174.3, 32.2, 5.0, 1.0
341.0, 1.0, 36.6, 206.7, 17.5, 5.0, 1.0
342.0, 1.0, 40.3, 202.0, 17.9, 5.0, 1.0
343.0, 1.0, 40.9, 209.7, 14.6, 5.0, 1.0
344.0, 1.0, 18.6, 207.9, 46.6, 5.0, 1.0
345.0, 1.0, 18.1, 207.6, 50.6, 5.0, 1.0
346.0, 1.0, 18.0, 205.1, 45.5, 5.0, 1.0
347.0, 1.0, 19.1, 187.8, 40.1, 5.0, 1.0
348.0, 1.0, 18.0, 186.0, 42.9, 5.0, 1.0
349.0, 1.0, 18.5, 184.2, 41.3, 5.0, 1.0
350.0, 1.0, 27.0, 169.6, 34.1, 5.0, 1.0
351.0, 1.0, 35.5, 229.3, 13.3, 5.0, 1.0
352.0, 1.0, 40.3, 225.6, 9.1, 5.0, 1.0
353.0, 1.0, 40.2, 231.9, 8.0, 5.0, 1.0
354.0, 1.0, 45.3, 205.1, 15.1, 5.0, 1.0
355.0, 1.0, 30.2, 189.7, 26.8, 5.0, 1.0
356.0, 1.0, 33.9, 189.5, 24.8, 5.0, 1.0
357.0, 1.0, 32.5, 193.8, 24.4, 5.0, 1.0
358.0, 1.0, 50.5, 224.0, 3.3, 5.0, 1.0
359.0, 1.0, 44.4, 228.2, 5.1, 5.0, 1.0
360.0, 1.0, 22.0, 213.3, 34.9, 5.0, 1.0
361.0, 1.0, 20.3, 210.2, 38.9, 5.0, 1.0
362.0, 1.0, 21.8, 209.0, 34.3, 5.0, 1.0
363.0, 1.0, 21.0, 192.9, 35.7, 5.0, 1.0
364.0, 1.0, 23.2, 192.2, 32.5, 5.0, 1.0
365.0, 1.0, 21.9, 196.8, 33.8, 5.0, 1.0
